date,year,month,weekday,airline_icao,origin_icao,dest_icao,dep_sched,dep_real,arr_sched,arr_real,dep_delay_min,arr_delay_min,delayed_flag,period,status,justificativa
2010-01-01,2010,1,4,GLO,SBMA,SBBR,01/01/2010 07:10,,01/01/2010 09:00,,,,0,Manhã,CANCELADO,XS
2010-01-01,2010,1,4,AAL,SAEZ,KMIA,01/01/2010 22:20,01/01/2010 22:20,02/01/2010 07:10,02/01/2010 07:10,0,0,0,Noite,REALIZADO,N/A
2010-01-01,2010,1,4,AAL,KMIA,SBGL,01/01/2010 23:35,01/01/2010 23:35,02/01/2010 08:19,02/01/2010 08:19,0,0,0,Noite,REALIZADO,N/A
2010-01-01,2010,1,4,AAL,SBGL,KMIA,01/01/2010 22:12,01/01/2010 22:12,02/01/2010 07:10,02/01/2010 07:10,0,0,0,Noite,REALIZADO,N/A
2010-01-01,2010,1,4,AAL,KMIA,SBGL,01/01/2010 02:15,01/01/2010 02:15,01/01/2010 10:56,01/01/2010 10:56,0,0,0,Madrugada,REALIZADO,N/A
2010-01-01,2010,1,4,AAL,SBGR,KMIA,01/01/2010 23:20,01/01/2010 23:20,02/01/2010 07:40,02/01/2010 07:40,0,0,0,Noite,REALIZADO,N/A
2010-01-01,2010,1,4,AAL,KMIA,SBGR,01/01/2010 23:15,02/01/2010 00:30,02/01/2010 07:35,02/01/2010 08:40,75,65,1,Noite,REALIZADO,AS
2010-01-01,2010,1,4,AAL,SAEZ,KMIA,01/01/2010 00:40,01/01/2010 00:40,01/01/2010 09:25,01/01/2010 09:25,0,0,0,Madrugada,REALIZADO,N/A
2010-01-01,2010,1,4,AAL,KMIA,SAEZ,01/01/2010 23:30,01/01/2010 23:30,02/01/2010 08:25,02/01/2010 08:25,0,0,0,Noite,REALIZADO,N/A
2010-01-01,2010,1,4,AAL,SLVR,KMIA,01/01/2010 12:25,01/01/2010 12:25,01/01/2010 19:05,01/01/2010 19:05,0,0,0,Tarde,REALIZADO,N/A
2010-01-01,2010,1,4,AAL,SLLP,SLVR,01/01/2010 09:55,01/01/2010 09:55,01/01/2010 11:10,01/01/2010 11:10,0,0,0,Manhã,REALIZADO,N/A
